OntologyAnnotation.subject.symbol,OntologyAnnotation.subject.background.name,Zygosity,ContainsHoloprosencephaly,CombinedPhenotypes,CombinedPubmed,HPE_strains
T(7;18)50H/+,involves: 101/H * C3H/HeH,ht,FALSE,"abnormal femur morphology, abnormal femur morphology, abnormal humerus morphology, abnormal humerus morphology, abnormal pelvic girdle bone morphology, abnormal pelvic girdle bone morphology, decreased diameter of femur, decreased diameter of femur, decreased diameter of humerus, decreased diameter of humerus, embryonic lethality during organogenesis, incomplete penetrance, embryonic lethality during organogenesis, incomplete penetrance, embryonic lethality, complete penetrance, embryonic lethality, complete penetrance, increased growth rate, increased growth rate, maternal imprinting, maternal imprinting, maternal imprinting, maternal imprinting, paternal imprinting, paternal imprinting, paternal imprinting, paternal imprinting, postnatal growth retardation, postnatal growth retardation, postnatal lethality, incomplete penetrance, postnatal lethality, incomplete penetrance, short femur, short femur, short humerus, short humerus, short tail, short tail, uniparental disomy, uniparental disomy",1303278,101/H|C3H/HeH
T(7;18)50H/+,involves: 101/H * C3H/HeH * C57BL/6J,ht,FALSE,"abnormal sperm head morphology, abnormal sperm head morphology, decreased body weight, decreased body weight, decreased litter size, decreased litter size, decreased testis weight, decreased testis weight, decreased testis weight, decreased testis weight, multivalent meiotic configurations, multivalent meiotic configurations, multivalent meiotic configurations, multivalent meiotic configurations, oligozoospermia, oligozoospermia, oligozoospermia, oligozoospermia, oligozoospermia, oligozoospermia, reduced female fertility, reduced female fertility, reduced male fertility, reduced male fertility",2072976,101/H|C3H/HeH|C57BL/6J
T(7;18)50H/+,involves: 101/H * C3H/HeH * CBA/H,ht,FALSE,"abnormal sperm head morphology, abnormal sperm head morphology, abnormal sperm number, abnormal sperm number, abnormal sperm number, abnormal sperm number, abnormal sperm number, abnormal sperm number, decreased body weight, decreased body weight, decreased litter size, decreased litter size, decreased testis weight, decreased testis weight, decreased testis weight, decreased testis weight, multivalent meiotic configurations, multivalent meiotic configurations, multivalent meiotic configurations, multivalent meiotic configurations, oligozoospermia, oligozoospermia, reduced female fertility, reduced female fertility, reduced male fertility, reduced male fertility",2072976,101/H|C3H/HeH|CBA/H
Tctn1<Gt(KST296)Byg>/Tctn1<Gt(KST296)Byg>,B6.129P2-Tctn1<Gt(KST296)Byg>,hm,TRUE,"absent floor plate, holoprosencephaly, lethality throughout fetal growth and development, complete penetrance, small embryonic telencephalon",16357211,B6|129P2
Tctn1<Gt(KST296)Byg>/Tctn1<Gt(KST296)Byg>,involves: 129P2/OlaHsd,hm,FALSE,"abnormal embryonic neuroepithelium morphology, abnormal embryonic neuroepithelium morphology, abnormal left-right axis patterning, abnormal rostral-caudal axis patterning, absent embryonic cilia, cellular phenotype, embryo phenotype, preaxial polydactyly",21725307,129P2/OlaHsd
Tctn3<tm1.2Blnw>/Tctn3<tm1.2Blnw>,involves: 129S6/SvEvTac * C57BL/6 * FVB/N * SW,hm,TRUE,"abnormal cilium morphology, abnormal cilium morphology, abnormal direction of heart looping, absent floor plate, decreased embryonic neuroepithelium primary cilium number, edema, holoprosencephaly, lethality throughout fetal growth and development, incomplete penetrance, neonatal lethality, complete penetrance, polydactyly",28800946,129S6/SvEvTac|C57BL/6|FVB/N|SW
Tctn3<tm2(Tctn1)Blnw>/Tctn3<tm2(Tctn1)Blnw>,involves: 129S6/SvEvTac * C57BL/6 * SW,hm,TRUE,"abnormal cilium morphology, abnormal cilium morphology, abnormal direction of heart looping, decreased embryonic neuroepithelium primary cilium number, decreased embryonic neuroepithelium primary cilium number, embryonic lethality during organogenesis, complete penetrance, holoprosencephaly",28800946,129S6/SvEvTac|C57BL/6|SW
Tctn3<tm3(Tctn2)Blnw>/Tctn3<tm3(Tctn2)Blnw>,involves: 129S6/SvEvTac * C57BL/6 * SW,hm,TRUE,"abnormal cilium morphology, abnormal cilium morphology, abnormal direction of heart looping, decreased embryonic neuroepithelium primary cilium number, decreased embryonic neuroepithelium primary cilium number, embryonic lethality during organogenesis, complete penetrance, holoprosencephaly",28800946,129S6/SvEvTac|C57BL/6|SW
Tgif1<tm1.1Caw>/Tgif1<+>,B6.129S-Tgif1<tm1.1Caw>,ht,FALSE,"abnormal middle ear morphology, abnormal middle ear morphology, abnormal placenta intervillous maternal lacunae morphology, abnormal placenta labyrinth morphology, hydrocephaly, impaired hearing, increased or absent threshold for auditory brainstem response, increased placenta intervillous maternal lacunae size",23459932,B6|129S
Tgif1<tm1Caw>/Tgif1<tm1Caw>,involves: 129S/SvEv * C57BL/6 * FVB/N,hm,FALSE,no abnormal phenotype detected,15831469,129S/SvEv|C57BL/6|FVB/N
Tgif1<tm1Dwot>/Tgif1<+>,involves: 129X1/SvJ * C57BL/6J,ht,FALSE,"abnormal response to vitamins, exencephaly",16428452,129X1/SvJ|C57BL/6J
Tgif1<tm1Ychn>/Tgif1<+>,involves: 129X1/SvJ * C57BL/6,ht,TRUE,"abnormal brain development, abnormal brain development, abnormal brain development, abnormal brain development, abnormal brain development, abnormal brain development, abnormal brain development, abnormal brain development, abnormal folding of telencephalic vesicles, abnormal folding of telencephalic vesicles, abnormal forebrain development, abnormal forebrain development, abnormal hindbrain development, abnormal hindbrain development, abnormal midface morphology, abnormal midface morphology, abnormal snout morphology, abnormal snout morphology, abnormal upper lip morphology, abnormal upper lip morphology, embryonic lethality during organogenesis, incomplete penetrance, embryonic lethality during organogenesis, incomplete penetrance, exencephaly, exencephaly, exencephaly, exencephaly, holoprosencephaly, holoprosencephaly, microcephaly, microcephaly, philtrum hypoplasia, philtrum hypoplasia, prenatal lethality, incomplete penetrance, prenatal lethality, incomplete penetrance, small brain ventricles, small brain ventricles",17082251,129X1/SvJ|C57BL/6
Tgif1<tm1Ychn>/Tgif1<tm1Ychn>,involves: 129X1/SvJ * C57BL/6,hm,FALSE,"abnormal brain development, abnormal brain development, exencephaly, prenatal lethality, incomplete penetrance",17082251,129X1/SvJ|C57BL/6
Tgif2<tm1Dwot>/Tgif2<tm1Dwot>,involves: 129S/SvEv * C57BL/6J,hm,FALSE,no abnormal phenotype detected,20040491,129S/SvEv|C57BL/6J
Tmem67<tm1Dgen>/Tmem67<tm1Dgen>,B6.129P2-Tmem67<tm1Dgen>,hm,TRUE,"abnormal basal ganglion morphology, abnormal brain ependyma motile cilium morphology, abnormal centrosome morphology, abnormal cilium morphology, abnormal cilium morphology, abnormal corpus callosum morphology, abnormal dorsal-ventral axis patterning, abnormal dorsal-ventral axis patterning, abnormal embryonic neuroepithelium morphology, abnormal forebrain development, abnormal forebrain development, abnormal hepatobiliary system development, abnormal midbrain development, abnormal nervous system morphology, abnormal nervous system morphology, abnormal nervous system morphology, abnormal nervous system morphology, abnormal nervous system morphology, abnormal neural fold morphology, abnormal neural tube morphology, abnormal neural tube morphology, abnormal neural tube ventricular layer morphology, abnormal posterior cranial fossa morphology, abnormal renal tubule epithelial cell primary cilium morphology, abnormal roof plate morphology, abnormal tegmentum morphology, absent anterior commissure, absent embryonic cilia, absent embryonic cilia, cellular phenotype, cerebellum vermis hypoplasia, decreased forebrain size, decreased hindbrain size, dilated fourth ventricle, dilated fourth ventricle, encephalomeningocele, enlarged hippocampus, exencephaly, incomplete rostral neuropore closure, increased forebrain size, kidney cyst, kidney cyst, limbs/digits/tail phenotype, mandible hypoplasia, meningocele, microcephaly, neonatal lethality, incomplete penetrance, perinatal lethality, postnatal growth retardation, postnatal lethality, postnatal lethality, incomplete penetrance, semilobar holoprosencephaly, small cerebellum","23283079, 21725307",B6|129P2
Tp(Y)1Ct<Sxr-a>/+,involves: CBA * PCT,ht,FALSE,"abnormal gametogenesis, abnormal primary sex determination, absent germ cells, arrest of male meiosis, decreased primordial germ cell number, primary sex reversal, small testis",5156366,CBA|PCT
Tp(Y)1Ct<Sxr-b>/+,Not Specified,ht,FALSE,"abnormal primary sex determination, primary sex reversal",6542174,NotSpecified
Trappc10<b2b2416Clo>/Trappc10<b2b2416Clo>,Trappc10<b2b2416Clo>,hm,TRUE,"anencephaly, anophthalmia, atrioventricular septal defect, heart left ventricle hypertrophy, heart right ventricle hypertrophy, holoprosencephaly, thymus hypoplasia, ventricular septal defect",NA,Trappc10<b2b2416Clo>
Ttbk2<bby>/Ttbk2<bby>,involves: C57BL/6J * FVB,hm,TRUE,"abnormal cilium morphology, abnormal cilium morphology, abnormal direction of heart looping, abnormal embryonic tissue morphology, abnormal limb development, abnormal neural tube morphology, embryonic lethality during organogenesis, complete penetrance, holoprosencephaly",23141541,C57BL/6J|FVB
Ttbk2<bby>/Ttbk2<tm1Dral>,involves: C57BL/6,ht,FALSE,"absent embryonic cilia, absent embryonic cilia",30532139,C57BL/6
Ttbk2<bby>/Ttbk2<tm1a(EUCOMM)Hmgu>,involves: C57BL/6 * C57BL/6N,ht,FALSE,"abnormal cilium morphology, abnormal cilium morphology, abnormal cilium morphology, abnormal cilium morphology, abnormal nervous system development, perinatal lethality, complete penetrance, polydactyly",30532139,C57BL/6|C57BL/6N
Ttbk2<tm1Dral>/Ttbk2<+>,involves: C57BL/6,ht,FALSE,nervous system phenotype,30532139,C57BL/6
Ttbk2<tm1Dral>/Ttbk2<tm1Dral>,involves: C57BL/6,hm,TRUE,"abnormal brain development, abnormal cell physiology, abnormal cranial flexure morphology, abnormal direction of heart looping, abnormal nervous system development, absent embryonic cilia, absent embryonic cilia, decreased embryo size, embryonic growth retardation, holoprosencephaly, incomplete embryo turning, preweaning lethality, complete penetrance","21548880, 30532139",C57BL/6
Ttbk2<tm1Dral>/Ttbk2<tm1a(EUCOMM)Hmgu>,involves: C57BL/6 * C57BL/6N,ht,FALSE,"abnormal cilium morphology, abnormal cilium morphology, abnormal cilium morphology, abnormal nervous system development, abnormal neural tube morphology, polydactyly, prenatal lethality, incomplete penetrance",30532139,C57BL/6|C57BL/6N
Twsg1<tm1.1Mboc>/Twsg1<tm1.1Mboc>,129S/SvEv-Twsg1<tm1.1Mboc>,hm,FALSE,"abnormal craniofacial morphology, abnormal jaw morphology, abnormal vertebral arch morphology, decreased body size, decreased body weight, lethality at weaning, incomplete penetrance, neonatal lethality, incomplete penetrance",15013800,129S/SvEv
Twsg1<tm1.1Mboc>/Twsg1<tm1.1Mboc>,B6.129S7-Twsg1<tm1.1Mboc>,hm,FALSE,"abnormal cervical vertebrae morphology, abnormal cervical vertebrae morphology, abnormal craniofacial development, abnormal craniofacial development, abnormal craniofacial development, abnormal craniofacial development, abnormal craniofacial morphology, abnormal head morphology, abnormal submandibular gland development, abnormal submandibular gland development, absent submandibular gland, agnathia, anophthalmia, cyclopia, decreased mouth size, fused first pharyngeal arch, lowered ear position, microphthalmia, perinatal lethality, incomplete penetrance, perinatal lethality, incomplete penetrance, perinatal lethality, incomplete penetrance, postnatal lethality, complete penetrance, single external naris","15013800, 16289463",B6|129S7
Twsg1<tm1.1Mboc>/Twsg1<tm1.1Mboc>,involves: 129S7/SvEvBrd * C57BL/6 * FVB/N,hm,TRUE,"abnormal caudal vertebrae morphology, abnormal cervical vertebrae morphology, abnormal cervical vertebrae morphology, abnormal foregut morphology, abnormal foregut morphology, abnormal gait, abnormal gait, abnormal oropharynx morphology, abnormal thoracic vertebrae morphology, abnormal vertebrae morphology, abnormal vertebral arch morphology, abnormal vertebral arch morphology, abnormal vertebral lamina morphology, abnormal vertebral spinous process morphology, abnormal vertebral spinous process morphology, alobar holoprosencephaly, alobar holoprosencephaly, decreased body size, decreased body weight, decreased body weight, decreased caudal vertebrae number, delayed bone ossification, hindlimb paralysis, kinked tail, premature death, short tail",15013800,129S7/SvEvBrd|C57BL/6|FVB/N
Twsg1<tm1Emdr>/Twsg1<tm1Emdr>,involves: 129 * C57BL/6 * SJL,hm,FALSE,"prenatal lethality, incomplete penetrance",18789316,129|C57BL/6|SJL
Twsg1<tm1Emdr>/Twsg1<tm1Emdr>,involves: 129X1/SvJ * C57BL/6 * SJL,hm,FALSE,"abnormal caudal vertebrae morphology, abnormal caudal vertebrae morphology, abnormal caudal vertebrae morphology, abnormal intervertebral disk development, abnormal tail morphology, abnormal vertebral arch development, decreased body weight, kinked tail, persistence of notochord tissue, short tail",14681194,129X1/SvJ|C57BL/6|SJL
Vax1<tm1Pgr>/Vax1<tm1Pgr>,either: (involves: 129S1/Sv * 129X1/SvJ * C57BL/6) or (involves: 129S1/Sv * 129X1/SvJ * NMRI),hm,TRUE,"abnormal anterior commissure morphology, abnormal corpus callosum morphology, abnormal forebrain development, abnormal hypothalamus morphology, abnormal optic nerve innervation, abnormal optic nerve morphology, abnormal optic nerve morphology, abnormal optic nerve morphology, abnormal telencephalon development, abnormal telencephalon development, abnormal upper incisor morphology, absent optic chiasm, cleft palate, coloboma, fused upper incisors, holoprosencephaly, lethality at weaning, incomplete penetrance, perinatal lethality, incomplete penetrance, perinatal lethality, incomplete penetrance, premature death",10601036,129S1/Sv|129X1/SvJ|C57BL/6
Vax1<tm1Pgr>/Vax1<tm1Pgr>,involves: 129S1/Sv * 129X1/SvJ * C57BL/6,hm,TRUE,"abnormal cranium morphology, abnormal cranium morphology, abnormal frontonasal mesenchyme morphology, abnormal lateral ventricle morphology, abnormal maxilla morphology, abnormal midface morphology, abnormal midface morphology, abnormal nasal cavity morphology, abnormal nasal cavity morphology, abnormal nasal cavity morphology, abnormal pituitary gland morphology, abnormal premaxilla morphology, abnormal presphenoid bone morphology, abnormal upper incisor morphology, abnormal vomeronasal cartilage morphology, absent nasal septum, absent palatine bone horizontal plate, absent presphenoid bone, cleft palate, cleft palate, decreased forebrain size, lobar holoprosencephaly, lobar holoprosencephaly, maxillary retrognathia, maxillary shelf hypoplasia, midface retrusion, palatal shelves fail to meet at midline, palatine bone hypoplasia, presphenoid bone hypoplasia, small cranium, small mandible, vomer bone hypoplasia",28771384,129S1/Sv|129X1/SvJ|C57BL/6
Wdr11<Gt(Ayu21-KBW205)Imeg>/Wdr11<+>,B6.Cg-Wdr11<Gt(Ayu21-KBW205)Imeg>,ht,FALSE,"increased body mass index, increased liver weight, increased percent body fat/body weight, microvesicular hepatic steatosis, obese",29263200,B6|Cg
Wdr11<Gt(Ayu21-KBW205)Imeg>/Wdr11<Gt(Ayu21-KBW205)Imeg>,B6.Cg-Wdr11<Gt(Ayu21-KBW205)Imeg>,hm,TRUE,"Rathke's pouch hypoplasia, abnormal adenohypophysis morphology, abnormal choroid plexus morphology, abnormal choroid plexus morphology, abnormal craniofacial morphology, abnormal embryonic neuroepithelium morphology, abnormal estrous cycle, abnormal eye development, abnormal facial morphology, abnormal forebrain morphology, abnormal heart morphology, abnormal heart morphology, abnormal hypothalamus physiology, abnormal medial nasal prominence morphology, abnormal midface morphology, abnormal nasal pit morphology, abnormal neurohypophysis median eminence morphology, abnormal neuronal migration, abnormal nose morphology, abnormal olfactory bulb development, abnormal olfactory bulb development, abnormal olfactory epithelium cilium morphology, abnormal optic eminence morphology, abnormal pituitary diverticulum morphology, abnormal pituitary gland development, abnormal primary cilium morphology, abnormal primary cilium morphology, abnormal respiratory conducting tube morphology, abnormal skeleton morphology, abnormal thoracic cage morphology, abnormal uterus morphology, absent corpus luteum, absent tertiary ovarian follicles, anophthalmia, cyclopia, decreased Leydig cell number, decreased bone mineralization, decreased neuron number, decreased survivor rate, delayed balanopreputial separation, delayed sexual maturation, double outlet right ventricle, embryonic growth retardation, enlarged brain ventricles, exencephaly, external male genitalia hypoplasia, holoprosencephaly, hydrocephaly, impaired ovarian folliculogenesis, increased atretic ovarian follicle number, increased body mass index, lethality throughout fetal growth and development, incomplete penetrance, male infertility, microcephaly, nasal septum hypoplasia, obese, ocular hypotelorism, olfactory bulb hypoplasia, ovary cyst, perinatal lethality, incomplete penetrance, postnatal growth retardation, protruding tongue, reduced male fertility, seminiferous tubule degeneration, short limbs, short perineum, small mandible, small ovary, small penis, small testis, small uterus, syndactyly, teratozoospermia, ventricular septal defect",29263200,B6|Cg
Zic2<Ku>/Zic2<+>,C3.CAnNCrl-Zic2<Ku>,ht,FALSE,"belly spot, curly tail, kinked tail, spina bifida",14651926,C3|CAnNCrl
Zic2<Ku>/Zic2<+>,involves: BALB/c * C3H/HeN,ht,FALSE,"belly spot, curly tail",10932191,BALB/c|C3H/HeN
Zic2<Ku>/Zic2<Ku>,129S.CAnNCrl(C3)-Zic2<Ku>,hm,FALSE,"rostral body truncation, rostral body truncation",27466203,129S|CAnNCrlC3
Zic2<Ku>/Zic2<Ku>,C3.CAnNCrl-Zic2<Ku>,hm,TRUE,"abnormal eye distance/ position, abnormal forebrain development, abnormal forebrain development, abnormal notochord morphology, abnormal prechordal plate morphology, abnormal prechordal plate morphology, abnormal primitive node morphology, curly tail, cyclopia, cyclopia, decreased neural crest cell number, decreased neural crest cell number, decreased neural crest cell number, decreased rhombomere 3 size, decreased rhombomere 5 size, delayed caudal neuropore closure, embryonic lethality during organogenesis, complete penetrance, exencephaly, hematoma, holoprosencephaly, holoprosencephaly, incomplete rostral neuropore closure, increased ectoderm apoptosis, ocular hypotelorism, proboscis, spina bifida","18617531, 14651926",C3|CAnNCrl
Zic2<iso>/Zic2<iso>,involves: C3H/HeH * C57BL/6,hm,TRUE,"abnormal heart ventricle morphology, abnormal hepatic vein connection, abnormal pancreas morphology, abnormal spleen morphology, abnormal spleen size, absent spleen, alobar holoprosencephaly, anophthalmia, atrial septal defect, curly tail, cyclopia, dextrocardia, double outlet right ventricle, exencephaly, heterotaxia, heterotaxia, left sided inferior vena cava, mesocardia, ocular hypotelorism, right aortic arch, right atrial isomerism, right atrial isomerism, right pulmonary isomerism, right pulmonary isomerism, right-sided isomerism, right-sided isomerism, right-sided stomach, spina bifida, ventricular septal defect",29992973,C3H/HeH|C57BL/6
Zic2<tm1Jaru>/Zic2<+>,B6.129S4-Zic2<tm1Jaru>,ht,FALSE,"behavior/neurological phenotype, decreased prepulse inhibition, increased startle reflex",11699604,B6|129S4
Zic2<tm1Jaru>/Zic2<+>,involves: 129S4/SvJae * C57BL/6J,ht,FALSE,"abnormal amygdala morphology, abnormal cerebral hemisphere morphology, abnormal spatial learning, abnormal spatial working memory, behavior/neurological phenotype, decreased aggression towards mice, decreased brain size, decreased corpus callosum size, decreased locomotor activity, decreased neuron number, enlarged lateral ventricles, enlarged lateral ventricles, hyperactivity, impaired contextual conditioning behavior, impaired cued conditioning behavior, thin cerebral cortex",22355535,129S4/SvJae|C57BL/6J
Zic2<tm1Jaru>/Zic2<tm1Jaru>,involves: 129S4/SvJae * C57BL/6,hm,TRUE,"abnormal autopod morphology, abnormal brain development, abnormal cerebral cortex morphology, abnormal cerebral cortex morphology, abnormal dorsal root ganglion morphology, abnormal forebrain development, abnormal forebrain development, abnormal limb bone morphology, abnormal nervous system development, abnormal neural fold formation, abnormal neural plate morphology, abnormal neural tube morphology, abnormal olfactory bulb morphology, abnormal roof plate morphology, abnormal spinal cord dorsal horn morphology, abnormal telencephalon development, abnormal vertebral arch morphology, abnormal vertebral arch morphology, abnormal vertebral arch morphology, anencephaly, curly tail, exencephaly, fused carpal bones, fused metacarpal bones, fused metatarsal bones, fused tarsal bones, fusion of vertebral arches, hindlimb paralysis, holoprosencephaly, microcephaly, postnatal lethality, complete penetrance, spina bifida, spina bifida",10677508,129S4/SvJae|C57BL/6
b2b1709Clo/b2b1709Clo,C57BL/6J-b2b1709Clo,hm,TRUE,"abnormal craniofacial morphology, abnormal mitral valve morphology, anophthalmia, aortic arch hypoplasia, coronary fistula, cyclopia, decreased heart left ventricle size, heart left ventricle hypoplasia, holoprosencephaly, microcephaly, overriding aortic valve, vascular ring, ventricular septal defect","NA, 28530678",C57BL/6J
b2b2012.2Clo/b2b2012.2Clo,C57BL/6J-b2b2012.2Clo,hm,TRUE,"absent mouth, anophthalmia, cardiac hypertrophy, cyclopia, holoprosencephaly, micrognathia, microphthalmia, right aortic arch",NA,C57BL/6J
b2b2012Clo/b2b2012Clo,C57BL/6J-b2b2012Clo,hm,TRUE,"absent mouth, anophthalmia, atrioventricular septal defect, cardiac hypertrophy, cyclopia, double outlet right ventricle, holoprosencephaly, micrognathia, microphthalmia, right aortic arch, short snout, ventricular septal defect",NA,C57BL/6J
b2b246Clo/b2b246Clo,C57BL/6J-b2b246Clo,hm,TRUE,"abnormal myocardium compact layer morphology, common atrioventricular valve, double outlet right ventricle, ventricular defect committed to aorta, holoprosencephaly, pulmonary artery hypoplasia, pulmonary valve stenosis, ventricular septal defect",NA,C57BL/6J
b2b370.1Clo/b2b370.1Clo,C57BL/6J-b2b370.1Clo,hm,TRUE,"abnormal brachiocephalic trunk morphology, absent mouth, ascending aorta hypoplasia, holoprosencephaly, micrognathia, proboscis, right aortic arch",NA,C57BL/6J
b2b370Clo/b2b370Clo,C57BL/6J-b2b370Clo,hm,TRUE,"abnormal aortic arch and aortic arch branch attachment, abnormal aortic arch morphology, abnormal blood vessel morphology, abnormal brachiocephalic trunk morphology, abnormal mouth morphology, absent mouth, ascending aorta hypoplasia, diaphragmatic hernia, heart left ventricle hypertrophy, heart right ventricle hypertrophy, holoprosencephaly, micrognathia, proboscis, pulmonary artery stenosis, right aortic arch, supravalvar aortic stenosis",NA,C57BL/6J
b2b383Clo/b2b383Clo,C57BL/6J-b2b383Clo,hm,TRUE,"absent external nares, absent mouth, atrioventricular septal defect, double outlet right ventricle, heart left ventricle hypertrophy, heart right ventricle hypertrophy, holoprosencephaly, micrognathia, microphthalmia, overriding aortic valve, right aortic arch, ventricular septal defect",NA,C57BL/6J
b2b508.2Clo/b2b508.2Clo,C57BL/6J-b2b508.2Clo,hm,TRUE,"acephaly, anophthalmia, decreased mouth size, holoprosencephaly, micrognathia, ventricular septal defect",NA,C57BL/6J
b2b508Clo/b2b508Clo,C57BL/6J-b2b508Clo,hm,TRUE,"acephaly, anophthalmia, atrioventricular septal defect, complete atrioventricular septal defect, decreased mouth size, double outlet right ventricle, double outlet right ventricle with atrioventricular septal defect, holoprosencephaly, microcephaly, micrognathia, ventricular septal defect",NA,C57BL/6J
hlb549/hlb549,involves: C3H/HeJ * C57BL/6J,hm,TRUE,"holoprosencephaly, persistent truncus arteriosis",16174781,C3H/HeJ|C57BL/6J
